provider_id,specialty,volume_tier,annual_volume,region,cost_factor,upcode_propensity,accreditation
PRV001,Cardiology,Medium,417,South,0.9625581482437628,0.12518743232271415,Level I
PRV002,Cardiology,Medium,655,East,0.999500063116128,0.09018531593394984,Level II
PRV003,Neurology,Medium,682,South,0.9842263561370539,0.3182916628594702,Level I
PRV004,Nephrology,Low,83,East,0.7526349028644298,0.1285598607307025,Level II
PRV005,Orthopaedics,Medium,391,South,0.9083352278926582,0.023039191408372177,Level I
PRV006,Neurology,Low,109,North,0.8150606441527314,0.05093818364185975,Level II
PRV007,General Medicine,Low,90,East,1.1343010397275441,0.10144817634926678,Level II
PRV008,General Surgery,Medium,575,North,0.916958436019888,0.005436537517035424,Level II
PRV009,Orthopaedics,Medium,578,East,0.8257375156941503,0.20197527891644243,Level II
PRV010,General Medicine,Medium,592,East,1.235832886847123,0.060937834799453375,Level II
PRV011,Neurology,Low,215,North,1.0356294905004078,0.031909162326697736,Level I
PRV012,General Surgery,Medium,636,East,0.8135959135750662,0.01992359476366422,Level II
PRV013,General Surgery,Medium,410,West,0.82532463957169,0.07044722052134518,Level II
PRV014,Orthopaedics,Low,116,Central,0.8945221186194401,0.08991842625501988,Level II
PRV015,Respiratory,Low,214,East,1.020787492693673,0.0029536365204071444,Level III
PRV016,Respiratory,High,983,North,1.1119856067545786,0.09798772899548373,Level II
PRV017,Neurology,Medium,503,West,1.0506119131139116,0.36998430382835956,Level III
PRV018,General Surgery,Low,213,North,1.0965095477212061,0.08497661943085906,Level II
PRV019,Orthopaedics,Medium,445,Central,0.9351032564783844,0.22192654051437474,Level III
PRV020,Gastroenterology,Low,138,East,0.9814152979213666,0.022331638356658565,Level II
PRV021,Respiratory,Medium,395,North,1.0944032392169227,0.05260986688376157,Level I
PRV022,Cardiology,High,1186,West,0.8239608605921728,0.003845855615430003,Level II
PRV023,Cardiology,High,1067,West,0.87680961764833,0.08985976286081775,Level III
PRV024,Neurology,High,986,East,1.0495907211916562,0.02308706701343751,Level II
PRV025,Gastroenterology,Medium,452,North,1.3294224328562794,0.004555014911068113,Level II
PRV026,Respiratory,Low,194,North,1.0459970770016043,0.11478381152074307,Level II
PRV027,Nephrology,Low,107,East,1.0990759993881278,0.03266975714511631,Level I
PRV028,Respiratory,Medium,513,South,1.0554538679329761,0.05945024034939845,Level II
PRV029,Cardiology,Medium,654,Central,1.0911771364459886,0.0062234128758707815,Level II
PRV030,Cardiology,Low,66,North,0.8332754839689939,0.009687321457071327,Level II
PRV031,Orthopaedics,Medium,791,East,0.9612752870053428,0.006731991147057477,Level I
PRV032,Nephrology,Medium,309,Central,0.8693864739426691,0.0039003331097107116,Level III
PRV033,General Medicine,Low,113,Central,1.2336071229386294,0.07301418434467229,Level I
PRV034,Gastroenterology,Low,78,East,1.091984086948467,0.21733826359399744,Level I
PRV035,Neurology,High,1033,West,0.9944364577901064,0.024957139429075743,Level III
PRV036,General Medicine,Medium,633,East,1.2504161234113778,0.01842761665075695,Level III
PRV037,General Surgery,Medium,761,Central,1.0647171185063062,0.12205673785517475,Level III
PRV038,Orthopaedics,Low,226,West,0.9049010362747195,0.021924601161174045,Level II
PRV039,Neurology,High,805,South,0.7722472578784466,0.0011408892675752933,Level II
PRV040,Respiratory,Medium,552,West,1.3828185195142242,0.11192456462314133,Level I
